,C,Gamma,Accuracy,Std,Time_train
32,0.0004641588833612782,2.782559402207126e-06,0.9878787878787879,0.03833063830507125,0.1339418888092041
33,0.0004641588833612782,0.0004641588833612782,0.9878787878787879,0.03833063830507125,0.11991310119628906
34,0.0004641588833612782,0.07742636826811278,0.4484848484848485,0.29141370376172865,0.13392329216003418
35,0.0004641588833612782,12.915496650148826,0.44242424242424244,0.2514968960151083,0.15690946578979492
36,0.0004641588833612782,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.1808938980102539
37,0.0004641588833612782,359381.36638046405,0.17575757575757575,0.20354976513632317,0.14891719818115234
38,0.0004641588833612782,59948425.03189421,0.17575757575757575,0.20354976513632317,0.15690827369689941
39,0.0004641588833612782,10000000000.0,0.17575757575757575,0.20354976513632317,0.16490602493286133
40,0.07742636826811278,1e-10,0.6787878787878788,0.12970263369110727,0.10396122932434082
41,0.07742636826811278,1.6681005372000592e-08,0.993939393939394,0.01916531915253563,0.11691069602966309
42,0.07742636826811278,2.782559402207126e-06,0.9878787878787879,0.03833063830507125,0.14377665519714355
43,0.07742636826811278,0.0004641588833612782,0.9878787878787879,0.03833063830507125,0.11295604705810547
44,0.07742636826811278,0.07742636826811278,0.4484848484848485,0.29141370376172865,0.11093616485595703
45,0.07742636826811278,12.915496650148826,0.4484848484848485,0.2479669399451974,0.15191435813903809
46,0.07742636826811278,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.16888213157653809
47,0.07742636826811278,359381.36638046405,0.17575757575757575,0.20354976513632317,0.14791440963745117
48,0.07742636826811278,59948425.03189421,0.17575757575757575,0.20354976513632317,0.12692737579345703
49,0.07742636826811278,10000000000.0,0.17575757575757575,0.20354976513632317,0.16290783882141113
50,12.915496650148826,1e-10,0.6787878787878788,0.12970263369110727,0.10094046592712402
51,12.915496650148826,1.6681005372000592e-08,0.993939393939394,0.01916531915253563,0.14123249053955078
52,12.915496650148826,2.782559402207126e-06,0.9878787878787879,0.03833063830507125,0.1359236240386963
53,12.915496650148826,0.0004641588833612782,0.9757575757575758,0.058759755847470646,0.14291763305664062
54,12.915496650148826,0.07742636826811278,0.6606060606060606,0.2877352114053144,0.12794709205627441
55,12.915496650148826,12.915496650148826,0.27878787878787875,0.2723903642938695,0.14692187309265137
56,12.915496650148826,2154.4346900318865,0.17575757575757575,0.20354976513632317,0.13195037841796875
57,12.915496650148826,359381.36638046405,0.17575757575757575,0.20354976513632317,0.14592576026916504
58,12.915496650148826,59948425.03189421,0.17575757575757575,0.20354976513632317,0.18688011169433594
59,12.915496650148826,10000000000.0,0.17575757575757575,0.20354976513632317,0.20163965225219727
60,2154.4346900318865,1e-10,0.6787878787878788,0.12970263369110727,0.13092565536499023
61,2154.4346900318865,1.6681005372000592e-08,0.993939393939394,0.01916531915253563,0.15291094779968262
62,2154.4346900318865,2.782559402207126e-06,0.9757575757575758,0.058759755847470646,0.1219329833984375
63,2154.4346900318865,0.0004641588833612782,0.9515151515151515,0.057495957457606876,0.12592649459838867
