,C,Gamma,Degree,Accuracy,Std
26,1e-10,2154.4346900318865,4.0,0.4848484848484848,0.2622219109428356
27,1e-10,2154.4346900318865,5.0,0.37575757575757573,0.25627120620443605
28,1e-10,359381.36638046405,2.0,0.8303030303030304,0.18719327529067276
29,1e-10,359381.36638046405,3.0,0.6606060606060606,0.24029366789816978
30,1e-10,359381.36638046405,4.0,0.4848484848484848,0.2622219109428356
31,1e-10,359381.36638046405,5.0,0.37575757575757573,0.25627120620443605
32,1e-10,59948425.03189421,2.0,0.8303030303030304,0.18719327529067276
33,1e-10,59948425.03189421,3.0,0.6606060606060606,0.24029366789816978
34,1e-10,59948425.03189421,4.0,0.4848484848484848,0.2622219109428356
35,1e-10,59948425.03189421,5.0,0.06666666666666667,0.0
36,1e-10,10000000000.0,2.0,0.8303030303030304,0.18719327529067276
37,1e-10,10000000000.0,3.0,0.6606060606060606,0.24029366789816978
38,1e-10,10000000000.0,4.0,0.06666666666666667,0.0
39,1e-10,10000000000.0,5.0,0.06666666666666667,0.0
40,1.6681005372000592e-08,1e-10,2.0,0.9333333333333335,0.0984731927834662
41,1.6681005372000592e-08,1e-10,3.0,0.9818181818181819,0.029690784761008216
42,1.6681005372000592e-08,1e-10,4.0,0.9090909090909091,0.09958591954639384
43,1.6681005372000592e-08,1e-10,5.0,0.9575757575757577,0.042854956435548326
44,1.6681005372000592e-08,1.6681005372000592e-08,2.0,0.9333333333333335,0.0984731927834662
45,1.6681005372000592e-08,1.6681005372000592e-08,3.0,0.9818181818181819,0.029690784761008216
46,1.6681005372000592e-08,1.6681005372000592e-08,4.0,0.9090909090909091,0.09958591954639384
47,1.6681005372000592e-08,1.6681005372000592e-08,5.0,0.9575757575757577,0.042854956435548326
48,1.6681005372000592e-08,2.782559402207126e-06,2.0,0.4,0.17291324385075277
49,1.6681005372000592e-08,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216
50,1.6681005372000592e-08,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384
51,1.6681005372000592e-08,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
52,1.6681005372000592e-08,0.0004641588833612782,2.0,0.30909090909090914,0.1484539238050411
53,1.6681005372000592e-08,0.0004641588833612782,3.0,0.09696969696969697,0.043703651823805936
54,1.6681005372000592e-08,0.0004641588833612782,4.0,0.07272727272727272,0.019165319152535634
55,1.6681005372000592e-08,0.0004641588833612782,5.0,0.0787878787878788,0.025712973861329
56,1.6681005372000592e-08,0.07742636826811278,2.0,0.30909090909090914,0.1484539238050411
57,1.6681005372000592e-08,0.07742636826811278,3.0,0.09696969696969697,0.043703651823805936
58,1.6681005372000592e-08,0.07742636826811278,4.0,0.07272727272727272,0.019165319152535634
59,1.6681005372000592e-08,0.07742636826811278,5.0,0.06666666666666667,0.0
60,1.6681005372000592e-08,12.915496650148826,2.0,0.30909090909090914,0.1484539238050411
61,1.6681005372000592e-08,12.915496650148826,3.0,0.6727272727272727,0.24692786409046497
