,C,Gamma,Accuracy,Std
46,0.07742636826811278,2154.4346900318865,0.17575757575757575,0.20354976513632317
47,0.07742636826811278,359381.36638046405,0.17575757575757575,0.20354976513632317
48,0.07742636826811278,59948425.03189421,0.17575757575757575,0.20354976513632317
49,0.07742636826811278,10000000000.0,0.17575757575757575,0.20354976513632317
50,12.915496650148826,1e-10,0.6787878787878788,0.12970263369110727
51,12.915496650148826,1.6681005372000592e-08,0.993939393939394,0.01916531915253563
52,12.915496650148826,2.782559402207126e-06,0.9878787878787879,0.03833063830507125
53,12.915496650148826,0.0004641588833612782,0.9757575757575758,0.058759755847470646
54,12.915496650148826,0.07742636826811278,0.6606060606060606,0.2877352114053144
55,12.915496650148826,12.915496650148826,0.27878787878787875,0.2723903642938695
56,12.915496650148826,2154.4346900318865,0.17575757575757575,0.20354976513632317
57,12.915496650148826,359381.36638046405,0.17575757575757575,0.20354976513632317
58,12.915496650148826,59948425.03189421,0.17575757575757575,0.20354976513632317
59,12.915496650148826,10000000000.0,0.17575757575757575,0.20354976513632317
60,2154.4346900318865,1e-10,0.6787878787878788,0.12970263369110727
61,2154.4346900318865,1.6681005372000592e-08,0.993939393939394,0.01916531915253563
62,2154.4346900318865,2.782559402207126e-06,0.9757575757575758,0.058759755847470646
63,2154.4346900318865,0.0004641588833612782,0.9515151515151515,0.057495957457606876
64,2154.4346900318865,0.07742636826811278,0.6606060606060606,0.2877352114053144
65,2154.4346900318865,12.915496650148826,0.27878787878787875,0.2723903642938695
66,2154.4346900318865,2154.4346900318865,0.17575757575757575,0.20354976513632317
67,2154.4346900318865,359381.36638046405,0.17575757575757575,0.20354976513632317
68,2154.4346900318865,59948425.03189421,0.17575757575757575,0.20354976513632317
69,2154.4346900318865,10000000000.0,0.17575757575757575,0.20354976513632317
70,359381.36638046405,1e-10,0.6787878787878788,0.12970263369110727
71,359381.36638046405,1.6681005372000592e-08,0.9818181818181819,0.04110503020075919
72,359381.36638046405,2.782559402207126e-06,0.9454545454545454,0.07422696190252055
73,359381.36638046405,0.0004641588833612782,0.9515151515151515,0.057495957457606876
74,359381.36638046405,0.07742636826811278,0.6606060606060606,0.2877352114053144
75,359381.36638046405,12.915496650148826,0.27878787878787875,0.2723903642938695
76,359381.36638046405,2154.4346900318865,0.17575757575757575,0.20354976513632317
77,359381.36638046405,359381.36638046405,0.17575757575757575,0.20354976513632317
78,359381.36638046405,59948425.03189421,0.17575757575757575,0.20354976513632317
79,359381.36638046405,10000000000.0,0.17575757575757575,0.20354976513632317
80,59948425.03189421,1e-10,0.6787878787878788,0.12970263369110727
81,59948425.03189421,1.6681005372000592e-08,0.9454545454545454,0.07422696190252055
82,59948425.03189421,2.782559402207126e-06,0.9454545454545454,0.07422696190252055
83,59948425.03189421,0.0004641588833612782,0.9515151515151515,0.057495957457606876
84,59948425.03189421,0.07742636826811278,0.6606060606060606,0.2877352114053144
85,59948425.03189421,12.915496650148826,0.27878787878787875,0.2723903642938695
86,59948425.03189421,2154.4346900318865,0.17575757575757575,0.20354976513632317
