,C,Gamma,Degree,Accuracy,Std
178,0.0004641588833612782,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
179,0.0004641588833612782,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
180,0.0004641588833612782,2.1544346900318822e-07,2.0,0.3151515151515152,0.13952562949359196
181,0.0004641588833612782,2.1544346900318822e-07,3.0,0.9818181818181819,0.029690784761008216
182,0.0004641588833612782,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
183,0.0004641588833612782,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
184,0.0004641588833612782,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
185,0.0004641588833612782,1.6681005372000556e-08,2.0,0.4,0.17291324385075277
186,0.0004641588833612782,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
187,0.0004641588833612782,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
188,0.0004641588833612782,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
189,0.0004641588833612782,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
190,0.0004641588833612782,1.2915496650148826e-09,2.0,0.9333333333333335,0.0984731927834662
191,0.0004641588833612782,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
192,0.0004641588833612782,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
193,0.0004641588833612782,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
194,0.0004641588833612782,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
195,0.0004641588833612782,1e-10,2.0,0.9333333333333335,0.0984731927834662
196,0.0004641588833612782,1e-10,3.0,0.9818181818181819,0.029690784761008216
197,0.0004641588833612782,1e-10,4.0,0.9090909090909091,0.09958591954639384
198,0.0004641588833612782,1e-10,5.0,0.9575757575757577,0.042854956435548326
199,0.0004641588833612782,1e-10,6.0,0.890909090909091,0.12151477367129347
200,0.07742636826811278,1.0,2.0,0.8303030303030304,0.18719327529067276
201,0.07742636826811278,1.0,3.0,0.6606060606060606,0.24029366789816978
202,0.07742636826811278,1.0,4.0,0.4848484848484848,0.2622219109428356
203,0.07742636826811278,1.0,5.0,0.37575757575757573,0.25627120620443605
204,0.07742636826811278,1.0,6.0,0.3333333333333333,0.23094010767585033
205,0.07742636826811278,0.0774263682681127,2.0,0.8303030303030302,0.16663911618021235
206,0.07742636826811278,0.0774263682681127,3.0,0.6727272727272727,0.24692786409046497
207,0.07742636826811278,0.0774263682681127,4.0,0.496969696969697,0.2595468255195619
208,0.07742636826811278,0.0774263682681127,5.0,0.3878787878787879,0.24257571025684244
209,0.07742636826811278,0.0774263682681127,6.0,0.3333333333333333,0.23094010767585033
210,0.07742636826811278,0.005994842503189409,2.0,0.30909090909090914,0.1484539238050411
211,0.07742636826811278,0.005994842503189409,3.0,0.09696969696969697,0.043703651823805936
212,0.07742636826811278,0.005994842503189409,4.0,0.07272727272727272,0.019165319152535634
213,0.07742636826811278,0.005994842503189409,5.0,0.06666666666666667,0.0
214,0.07742636826811278,0.005994842503189409,6.0,0.06666666666666667,0.0
215,0.07742636826811278,0.00046415888336127773,2.0,0.30909090909090914,0.1484539238050411
216,0.07742636826811278,0.00046415888336127773,3.0,0.09696969696969697,0.043703651823805936
217,0.07742636826811278,0.00046415888336127773,4.0,0.07272727272727272,0.019165319152535634
218,0.07742636826811278,0.00046415888336127773,5.0,0.06666666666666667,0.0
219,0.07742636826811278,0.00046415888336127773,6.0,0.06666666666666667,0.0
220,0.07742636826811278,3.5938136638046256e-05,2.0,0.30909090909090914,0.1484539238050411
221,0.07742636826811278,3.5938136638046256e-05,3.0,0.09696969696969697,0.043703651823805936
222,0.07742636826811278,3.5938136638046256e-05,4.0,0.07272727272727272,0.019165319152535634
223,0.07742636826811278,3.5938136638046256e-05,5.0,0.06666666666666667,0.0
224,0.07742636826811278,3.5938136638046256e-05,6.0,0.5878787878787878,0.05554637206007078
225,0.07742636826811278,2.782559402207126e-06,2.0,0.30909090909090914,0.1484539238050411
226,0.07742636826811278,2.782559402207126e-06,3.0,0.09696969696969697,0.043703651823805936
227,0.07742636826811278,2.782559402207126e-06,4.0,0.15757575757575756,0.04285495643554833
228,0.07742636826811278,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326
229,0.07742636826811278,2.782559402207126e-06,6.0,0.890909090909091,0.12151477367129347
230,0.07742636826811278,2.1544346900318822e-07,2.0,0.30909090909090914,0.1484539238050411
231,0.07742636826811278,2.1544346900318822e-07,3.0,0.20606060606060606,0.05999693900976767
232,0.07742636826811278,2.1544346900318822e-07,4.0,0.9090909090909091,0.09958591954639384
233,0.07742636826811278,2.1544346900318822e-07,5.0,0.9575757575757577,0.042854956435548326
234,0.07742636826811278,2.1544346900318822e-07,6.0,0.890909090909091,0.12151477367129347
235,0.07742636826811278,1.6681005372000556e-08,2.0,0.3151515151515152,0.13952562949359196
236,0.07742636826811278,1.6681005372000556e-08,3.0,0.9818181818181819,0.029690784761008216
237,0.07742636826811278,1.6681005372000556e-08,4.0,0.9090909090909091,0.09958591954639384
238,0.07742636826811278,1.6681005372000556e-08,5.0,0.9575757575757577,0.042854956435548326
239,0.07742636826811278,1.6681005372000556e-08,6.0,0.890909090909091,0.12151477367129347
240,0.07742636826811278,1.2915496650148826e-09,2.0,0.4,0.17291324385075277
241,0.07742636826811278,1.2915496650148826e-09,3.0,0.9818181818181819,0.029690784761008216
242,0.07742636826811278,1.2915496650148826e-09,4.0,0.9090909090909091,0.09958591954639384
243,0.07742636826811278,1.2915496650148826e-09,5.0,0.9575757575757577,0.042854956435548326
244,0.07742636826811278,1.2915496650148826e-09,6.0,0.890909090909091,0.12151477367129347
245,0.07742636826811278,1e-10,2.0,0.9333333333333335,0.0984731927834662
246,0.07742636826811278,1e-10,3.0,0.9818181818181819,0.029690784761008216
247,0.07742636826811278,1e-10,4.0,0.9090909090909091,0.09958591954639384
