,C,Gamma,Degree,Accuracy,Std,Time_train
46,1.6681005372000592e-08,1.6681005372000592e-08,4.0,0.9090909090909091,0.09958591954639384,0.10096335411071777
47,1.6681005372000592e-08,1.6681005372000592e-08,5.0,0.9575757575757577,0.042854956435548326,0.10398411750793457
48,1.6681005372000592e-08,2.782559402207126e-06,2.0,0.4,0.17291324385075277,0.0909280776977539
49,1.6681005372000592e-08,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216,0.13892126083374023
50,1.6681005372000592e-08,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384,0.10893869400024414
51,1.6681005372000592e-08,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326,0.11423945426940918
52,1.6681005372000592e-08,0.0004641588833612782,2.0,0.30909090909090914,0.1484539238050411,0.17589902877807617
53,1.6681005372000592e-08,0.0004641588833612782,3.0,0.09696969696969697,0.043703651823805936,0.10294151306152344
54,1.6681005372000592e-08,0.0004641588833612782,4.0,0.07272727272727272,0.019165319152535634,0.09794425964355469
55,1.6681005372000592e-08,0.0004641588833612782,5.0,0.0787878787878788,0.025712973861329,0.09604954719543457
56,1.6681005372000592e-08,0.07742636826811278,2.0,0.30909090909090914,0.1484539238050411,0.09196758270263672
57,1.6681005372000592e-08,0.07742636826811278,3.0,0.09696969696969697,0.043703651823805936,0.08892965316772461
58,1.6681005372000592e-08,0.07742636826811278,4.0,0.07272727272727272,0.019165319152535634,0.10593867301940918
59,1.6681005372000592e-08,0.07742636826811278,5.0,0.06666666666666667,0.0,0.0909585952758789
60,1.6681005372000592e-08,12.915496650148826,2.0,0.30909090909090914,0.1484539238050411,0.08621859550476074
61,1.6681005372000592e-08,12.915496650148826,3.0,0.6727272727272727,0.24692786409046497,0.11215615272521973
62,1.6681005372000592e-08,12.915496650148826,4.0,0.4848484848484848,0.2622219109428356,0.1129140853881836
63,1.6681005372000592e-08,12.915496650148826,5.0,0.37575757575757573,0.25627120620443605,0.12095117568969727
64,1.6681005372000592e-08,2154.4346900318865,2.0,0.8303030303030304,0.18719327529067276,0.1110236644744873
65,1.6681005372000592e-08,2154.4346900318865,3.0,0.6606060606060606,0.24029366789816978,0.11113953590393066
66,1.6681005372000592e-08,2154.4346900318865,4.0,0.4848484848484848,0.2622219109428356,0.12492895126342773
67,1.6681005372000592e-08,2154.4346900318865,5.0,0.37575757575757573,0.25627120620443605,0.11995053291320801
68,1.6681005372000592e-08,359381.36638046405,2.0,0.8303030303030304,0.18719327529067276,0.1060023307800293
69,1.6681005372000592e-08,359381.36638046405,3.0,0.6606060606060606,0.24029366789816978,0.10616230964660645
70,1.6681005372000592e-08,359381.36638046405,4.0,0.4848484848484848,0.2622219109428356,0.12290835380554199
71,1.6681005372000592e-08,359381.36638046405,5.0,0.37575757575757573,0.25627120620443605,0.12295722961425781
