,C,Gamma,Degree,Accuracy,Std,Time_train
40,1.6681005372000592e-08,1e-10,2.0,0.9333333333333335,0.0984731927834662,0.10891604423522949
41,1.6681005372000592e-08,1e-10,3.0,0.9818181818181819,0.029690784761008216,0.09396672248840332
42,1.6681005372000592e-08,1e-10,4.0,0.9090909090909091,0.09958591954639384,0.10893845558166504
43,1.6681005372000592e-08,1e-10,5.0,0.9575757575757577,0.042854956435548326,0.10393977165222168
44,1.6681005372000592e-08,1.6681005372000592e-08,2.0,0.9333333333333335,0.0984731927834662,0.09224987030029297
45,1.6681005372000592e-08,1.6681005372000592e-08,3.0,0.9818181818181819,0.029690784761008216,0.09088683128356934
46,1.6681005372000592e-08,1.6681005372000592e-08,4.0,0.9090909090909091,0.09958591954639384,0.0951690673828125
47,1.6681005372000592e-08,1.6681005372000592e-08,5.0,0.9575757575757577,0.042854956435548326,0.1589202880859375
48,1.6681005372000592e-08,2.782559402207126e-06,2.0,0.4,0.17291324385075277,0.12292861938476562
49,1.6681005372000592e-08,2.782559402207126e-06,3.0,0.9818181818181819,0.029690784761008216,0.12892603874206543
50,1.6681005372000592e-08,2.782559402207126e-06,4.0,0.9090909090909091,0.09958591954639384,0.11198163032531738
51,1.6681005372000592e-08,2.782559402207126e-06,5.0,0.9575757575757577,0.042854956435548326,0.10096192359924316
52,1.6681005372000592e-08,0.0004641588833612782,2.0,0.30909090909090914,0.1484539238050411,0.09595131874084473
53,1.6681005372000592e-08,0.0004641588833612782,3.0,0.09696969696969697,0.043703651823805936,0.09490513801574707
54,1.6681005372000592e-08,0.0004641588833612782,4.0,0.07272727272727272,0.019165319152535634,0.10216474533081055
55,1.6681005372000592e-08,0.0004641588833612782,5.0,0.0787878787878788,0.025712973861329,0.10301876068115234
56,1.6681005372000592e-08,0.07742636826811278,2.0,0.30909090909090914,0.1484539238050411,0.0923609733581543
57,1.6681005372000592e-08,0.07742636826811278,3.0,0.09696969696969697,0.043703651823805936,0.09620857238769531
58,1.6681005372000592e-08,0.07742636826811278,4.0,0.07272727272727272,0.019165319152535634,0.12192964553833008
59,1.6681005372000592e-08,0.07742636826811278,5.0,0.06666666666666667,0.0,0.11493325233459473
60,1.6681005372000592e-08,12.915496650148826,2.0,0.30909090909090914,0.1484539238050411,0.10795450210571289
61,1.6681005372000592e-08,12.915496650148826,3.0,0.6727272727272727,0.24692786409046497,0.1279304027557373
62,1.6681005372000592e-08,12.915496650148826,4.0,0.4848484848484848,0.2622219109428356,0.1289234161376953
63,1.6681005372000592e-08,12.915496650148826,5.0,0.37575757575757573,0.25627120620443605,0.11793279647827148
64,1.6681005372000592e-08,2154.4346900318865,2.0,0.8303030303030304,0.18719327529067276,0.1199350357055664
65,1.6681005372000592e-08,2154.4346900318865,3.0,0.6606060606060606,0.24029366789816978,0.26014232635498047
