,max_depth,min_samples_leaf,Accuracy,Std,Time_process
52,8.0,9.0,0.496969696969697,0.17376086287068426,0.13803482055664062
53,8.0,10.0,0.45454545454545453,0.16531129329679825,0.16277408599853516
54,8.0,11.0,0.46666666666666673,0.15569978883230456,0.13805794715881348
55,8.0,12.0,0.40606060606060607,0.1253827931247103,0.16275668144226074
56,9.0,5.0,0.5878787878787878,0.22168898373541673,0.1693112850189209
57,9.0,6.0,0.5696969696969697,0.20765868726074926,0.1849350929260254
58,9.0,7.0,0.5454545454545454,0.1965730271542649,0.1693124771118164
59,9.0,8.0,0.5393939393939393,0.19990815154509872,0.1784043312072754
60,9.0,9.0,0.496969696969697,0.17376086287068426,0.18489408493041992
61,9.0,10.0,0.45454545454545453,0.16531129329679825,0.1380319595336914
62,9.0,11.0,0.46666666666666673,0.15569978883230456,0.1471543312072754
63,9.0,12.0,0.40606060606060607,0.1253827931247103,0.15367364883422852
64,10.0,5.0,0.5878787878787878,0.22168898373541673,0.17840194702148438
65,10.0,6.0,0.5696969696969697,0.20765868726074926,0.1692640781402588
66,10.0,7.0,0.5454545454545454,0.1965730271542649,0.3008749485015869
67,10.0,8.0,0.5393939393939393,0.19990815154509872,0.18492794036865234
68,10.0,9.0,0.496969696969697,0.17376086287068426,0.1692798137664795
69,10.0,10.0,0.45454545454545453,0.16531129329679825,0.14713168144226074
70,10.0,11.0,0.46666666666666673,0.15569978883230456,0.13151288032531738
71,10.0,12.0,0.40606060606060607,0.1253827931247103,0.2162001132965088
72,11.0,5.0,0.5575757575757575,0.2113405548383357,0.20705723762512207
73,11.0,6.0,0.5696969696969697,0.20765868726074926,0.16276788711547852
74,11.0,7.0,0.5454545454545454,0.1965730271542649,0.15366196632385254
75,11.0,8.0,0.5393939393939393,0.19990815154509872,0.17839813232421875
76,11.0,9.0,0.496969696969697,0.17376086287068426,0.2070446014404297
77,11.0,10.0,0.45454545454545453,0.16531129329679825,0.1940138339996338
78,11.0,11.0,0.46666666666666673,0.15569978883230456,0.2005174160003662
79,11.0,12.0,0.40606060606060607,0.1253827931247103,0.2382962703704834
80,12.0,5.0,0.5696969696969696,0.21902195151021395,0.2005159854888916
81,12.0,6.0,0.5696969696969697,0.20765868726074926,0.2317948341369629
82,12.0,7.0,0.5454545454545454,0.1965730271542649,0.16928601264953613
83,12.0,8.0,0.5393939393939393,0.19990815154509872,0.16928458213806152
84,12.0,9.0,0.496969696969697,0.17376086287068426,0.14717531204223633
85,12.0,10.0,0.45454545454545453,0.16531129329679825,0.15366196632385254
86,12.0,11.0,0.46666666666666673,0.15569978883230456,0.13151288032531738
87,12.0,12.0,0.40606060606060607,0.1253827931247103,0.1627945899963379
88,13.0,5.0,0.5696969696969696,0.2095953511004919,0.18491458892822266
89,13.0,6.0,0.5696969696969697,0.19769098703394047,0.15372419357299805
90,13.0,7.0,0.5454545454545454,0.1965730271542649,0.23177862167358398
91,13.0,8.0,0.5393939393939393,0.19990815154509872,0.153639554977417
92,13.0,9.0,0.496969696969697,0.17376086287068426,0.18783211708068848
93,13.0,10.0,0.45454545454545453,0.16531129329679825,0.21621942520141602
94,13.0,11.0,0.46666666666666673,0.15569978883230456,0.16277861595153809
95,13.0,12.0,0.40606060606060607,0.1253827931247103,0.12243199348449707
96,14.0,5.0,0.5515151515151514,0.1844257461176114,0.17840123176574707
97,14.0,6.0,0.5515151515151515,0.17077579155885297,0.1849818229675293
98,14.0,7.0,0.5454545454545454,0.1965730271542649,0.23183584213256836
99,14.0,8.0,0.5393939393939393,0.19990815154509872,0.18491673469543457
100,14.0,9.0,0.496969696969697,0.17376086287068426,0.15373015403747559
101,14.0,10.0,0.45454545454545453,0.16531129329679825,0.3003542423248291
102,14.0,11.0,0.46666666666666673,0.15569978883230456,0.1676044464111328
103,14.0,12.0,0.40606060606060607,0.1253827931247103,0.2760457992553711
