,min_impurity,max_depth,min_samples_split,Accuracy,Std
38,1e-10,67.0,4.0,0.6545454545454545,0.26180134626006274
39,1e-10,67.0,5.0,0.6727272727272727,0.24855874732618033
40,1e-10,67.0,6.0,0.6787878787878787,0.24588439727394903
41,1e-10,67.0,7.0,0.6727272727272727,0.2565577028911118
42,1e-10,78.0,2.0,0.6484848484848486,0.260676523243716
43,1e-10,78.0,3.0,0.6242424242424243,0.27746722769114174
44,1e-10,78.0,4.0,0.6545454545454545,0.26180134626006274
45,1e-10,78.0,5.0,0.6727272727272727,0.24855874732618033
46,1e-10,78.0,6.0,0.6787878787878787,0.24588439727394903
47,1e-10,78.0,7.0,0.6727272727272727,0.2565577028911118
48,1e-10,89.0,2.0,0.6484848484848486,0.260676523243716
49,1e-10,89.0,3.0,0.6242424242424243,0.27746722769114174
50,1e-10,89.0,4.0,0.6545454545454545,0.26180134626006274
51,1e-10,89.0,5.0,0.6727272727272727,0.24855874732618033
52,1e-10,89.0,6.0,0.6787878787878787,0.24588439727394903
53,1e-10,89.0,7.0,0.6727272727272727,0.2565577028911118
54,1e-10,100.0,2.0,0.6484848484848486,0.260676523243716
55,1e-10,100.0,3.0,0.6242424242424243,0.27746722769114174
56,1e-10,100.0,4.0,0.6545454545454545,0.26180134626006274
57,1e-10,100.0,5.0,0.6727272727272727,0.24855874732618033
58,1e-10,100.0,6.0,0.6787878787878787,0.24588439727394903
59,1e-10,100.0,7.0,0.6727272727272727,0.2565577028911118
60,1.6681005372000592e-08,1.0,2.0,0.11515151515151514,0.029690784761008216
61,1.6681005372000592e-08,1.0,3.0,0.11515151515151514,0.029690784761008216
62,1.6681005372000592e-08,1.0,4.0,0.11515151515151514,0.029690784761008216
63,1.6681005372000592e-08,1.0,5.0,0.11515151515151514,0.029690784761008216
64,1.6681005372000592e-08,1.0,6.0,0.11515151515151514,0.029690784761008216
65,1.6681005372000592e-08,1.0,7.0,0.11515151515151514,0.029690784761008216
66,1.6681005372000592e-08,12.0,2.0,0.6363636363636364,0.2687248397260044
67,1.6681005372000592e-08,12.0,3.0,0.6242424242424243,0.27746722769114174
68,1.6681005372000592e-08,12.0,4.0,0.6606060606060606,0.25968830649246727
69,1.6681005372000592e-08,12.0,5.0,0.6727272727272727,0.24855874732618033
70,1.6681005372000592e-08,12.0,6.0,0.6787878787878787,0.24588439727394903
71,1.6681005372000592e-08,12.0,7.0,0.6727272727272727,0.2565577028911118
72,1.6681005372000592e-08,23.0,2.0,0.6484848484848486,0.260676523243716
73,1.6681005372000592e-08,23.0,3.0,0.6242424242424243,0.27746722769114174
74,1.6681005372000592e-08,23.0,4.0,0.6545454545454545,0.26180134626006274
75,1.6681005372000592e-08,23.0,5.0,0.6727272727272727,0.24855874732618033
76,1.6681005372000592e-08,23.0,6.0,0.6787878787878787,0.24588439727394903
77,1.6681005372000592e-08,23.0,7.0,0.6727272727272727,0.2565577028911118
78,1.6681005372000592e-08,34.0,2.0,0.6484848484848486,0.260676523243716
79,1.6681005372000592e-08,34.0,3.0,0.6242424242424243,0.27746722769114174
80,1.6681005372000592e-08,34.0,4.0,0.6545454545454545,0.26180134626006274
81,1.6681005372000592e-08,34.0,5.0,0.6727272727272727,0.24855874732618033
