,min_impurity,max_depth,min_samples_split,Accuracy,Std
75,2.1544346900318954e-45,96.66666666666667,5.0,0.5818181818181817,0.23968145373679017
76,2.1544346900318954e-45,96.66666666666667,6.0,0.6,0.23952815570144856
77,2.1544346900318954e-45,96.66666666666667,7.0,0.5818181818181817,0.23968145373679017
78,2.1544346900318954e-45,140.0,2.0,0.6181818181818183,0.23798974443723472
79,2.1544346900318954e-45,140.0,3.0,0.5818181818181818,0.23798974443723467
80,2.1544346900318954e-45,140.0,4.0,0.5818181818181818,0.24136130608169548
81,2.1544346900318954e-45,140.0,5.0,0.5818181818181817,0.23968145373679017
82,2.1544346900318954e-45,140.0,6.0,0.6,0.23952815570144856
83,2.1544346900318954e-45,140.0,7.0,0.5818181818181817,0.23968145373679017
84,2.1544346900318954e-45,183.33333333333334,2.0,0.6181818181818183,0.23798974443723472
85,2.1544346900318954e-45,183.33333333333334,3.0,0.5818181818181818,0.23798974443723467
86,2.1544346900318954e-45,183.33333333333334,4.0,0.5818181818181818,0.24136130608169548
87,2.1544346900318954e-45,183.33333333333334,5.0,0.5818181818181817,0.23968145373679017
88,2.1544346900318954e-45,183.33333333333334,6.0,0.6,0.23952815570144856
89,2.1544346900318954e-45,183.33333333333334,7.0,0.5818181818181817,0.23968145373679017
90,2.1544346900318954e-45,226.66666666666669,2.0,0.6181818181818183,0.23798974443723472
91,2.1544346900318954e-45,226.66666666666669,3.0,0.5818181818181818,0.23798974443723467
92,2.1544346900318954e-45,226.66666666666669,4.0,0.5818181818181818,0.24136130608169548
93,2.1544346900318954e-45,226.66666666666669,5.0,0.5818181818181817,0.23968145373679017
94,2.1544346900318954e-45,226.66666666666669,6.0,0.6,0.23952815570144856
95,2.1544346900318954e-45,226.66666666666669,7.0,0.5818181818181817,0.23968145373679017
96,2.1544346900318954e-45,270.0,2.0,0.6181818181818183,0.23798974443723472
97,2.1544346900318954e-45,270.0,3.0,0.5818181818181818,0.23798974443723467
98,2.1544346900318954e-45,270.0,4.0,0.5818181818181818,0.24136130608169548
99,2.1544346900318954e-45,270.0,5.0,0.5818181818181817,0.23968145373679017
100,2.1544346900318954e-45,270.0,6.0,0.6,0.23952815570144856
101,2.1544346900318954e-45,270.0,7.0,0.5818181818181817,0.23968145373679017
102,2.1544346900318954e-45,313.33333333333337,2.0,0.6181818181818183,0.23798974443723472
103,2.1544346900318954e-45,313.33333333333337,3.0,0.5818181818181818,0.23798974443723467
104,2.1544346900318954e-45,313.33333333333337,4.0,0.5818181818181818,0.24136130608169548
105,2.1544346900318954e-45,313.33333333333337,5.0,0.5818181818181817,0.23968145373679017
106,2.1544346900318954e-45,313.33333333333337,6.0,0.6,0.23952815570144856
107,2.1544346900318954e-45,313.33333333333337,7.0,0.5818181818181817,0.23968145373679017
108,2.1544346900318954e-45,356.6666666666667,2.0,0.6181818181818183,0.23798974443723472
109,2.1544346900318954e-45,356.6666666666667,3.0,0.5818181818181818,0.23798974443723467
110,2.1544346900318954e-45,356.6666666666667,4.0,0.5818181818181818,0.24136130608169548
111,2.1544346900318954e-45,356.6666666666667,5.0,0.5818181818181817,0.23968145373679017
112,2.1544346900318954e-45,356.6666666666667,6.0,0.6,0.23952815570144856
113,2.1544346900318954e-45,356.6666666666667,7.0,0.5818181818181817,0.23968145373679017
114,2.1544346900318954e-45,400.0,2.0,0.6181818181818183,0.23798974443723472
115,2.1544346900318954e-45,400.0,3.0,0.5818181818181818,0.23798974443723467
116,2.1544346900318954e-45,400.0,4.0,0.5818181818181818,0.24136130608169548
117,2.1544346900318954e-45,400.0,5.0,0.5818181818181817,0.23968145373679017
118,2.1544346900318954e-45,400.0,6.0,0.6,0.23952815570144856
119,2.1544346900318954e-45,400.0,7.0,0.5818181818181817,0.23968145373679017
120,4.641588833612754e-40,10.0,2.0,0.6181818181818183,0.23798974443723472
121,4.641588833612754e-40,10.0,3.0,0.5818181818181818,0.23798974443723467
122,4.641588833612754e-40,10.0,4.0,0.5818181818181818,0.24136130608169548
123,4.641588833612754e-40,10.0,5.0,0.5818181818181817,0.23968145373679017
124,4.641588833612754e-40,10.0,6.0,0.6,0.23952815570144856
125,4.641588833612754e-40,10.0,7.0,0.5818181818181817,0.23968145373679017
126,4.641588833612754e-40,53.333333333333336,2.0,0.6181818181818183,0.23798974443723472
127,4.641588833612754e-40,53.333333333333336,3.0,0.5818181818181818,0.23798974443723467
128,4.641588833612754e-40,53.333333333333336,4.0,0.5818181818181818,0.24136130608169548
129,4.641588833612754e-40,53.333333333333336,5.0,0.5818181818181817,0.23968145373679017
130,4.641588833612754e-40,53.333333333333336,6.0,0.6,0.23952815570144856
131,4.641588833612754e-40,53.333333333333336,7.0,0.5818181818181817,0.23968145373679017
132,4.641588833612754e-40,96.66666666666667,2.0,0.6181818181818183,0.23798974443723472
133,4.641588833612754e-40,96.66666666666667,3.0,0.5818181818181818,0.23798974443723467
134,4.641588833612754e-40,96.66666666666667,4.0,0.5818181818181818,0.24136130608169548
135,4.641588833612754e-40,96.66666666666667,5.0,0.5818181818181817,0.23968145373679017
136,4.641588833612754e-40,96.66666666666667,6.0,0.6,0.23952815570144856
137,4.641588833612754e-40,96.66666666666667,7.0,0.5818181818181817,0.23968145373679017
138,4.641588833612754e-40,140.0,2.0,0.6181818181818183,0.23798974443723472
139,4.641588833612754e-40,140.0,3.0,0.5818181818181818,0.23798974443723467
140,4.641588833612754e-40,140.0,4.0,0.5818181818181818,0.24136130608169548
141,4.641588833612754e-40,140.0,5.0,0.5818181818181817,0.23968145373679017
142,4.641588833612754e-40,140.0,6.0,0.6,0.23952815570144856
143,4.641588833612754e-40,140.0,7.0,0.5818181818181817,0.23968145373679017
144,4.641588833612754e-40,183.33333333333334,2.0,0.6181818181818183,0.23798974443723472
145,4.641588833612754e-40,183.33333333333334,3.0,0.5818181818181818,0.23798974443723467
146,4.641588833612754e-40,183.33333333333334,4.0,0.5818181818181818,0.24136130608169548
147,4.641588833612754e-40,183.33333333333334,5.0,0.5818181818181817,0.23968145373679017
148,4.641588833612754e-40,183.33333333333334,6.0,0.6,0.23952815570144856
149,4.641588833612754e-40,183.33333333333334,7.0,0.5818181818181817,0.23968145373679017
150,4.641588833612754e-40,226.66666666666669,2.0,0.6181818181818183,0.23798974443723472
151,4.641588833612754e-40,226.66666666666669,3.0,0.5818181818181818,0.23798974443723467
152,4.641588833612754e-40,226.66666666666669,4.0,0.5818181818181818,0.24136130608169548
153,4.641588833612754e-40,226.66666666666669,5.0,0.5818181818181817,0.23968145373679017
154,4.641588833612754e-40,226.66666666666669,6.0,0.6,0.23952815570144856
155,4.641588833612754e-40,226.66666666666669,7.0,0.5818181818181817,0.23968145373679017
156,4.641588833612754e-40,270.0,2.0,0.6181818181818183,0.23798974443723472
157,4.641588833612754e-40,270.0,3.0,0.5818181818181818,0.23798974443723467
158,4.641588833612754e-40,270.0,4.0,0.5818181818181818,0.24136130608169548
159,4.641588833612754e-40,270.0,5.0,0.5818181818181817,0.23968145373679017
160,4.641588833612754e-40,270.0,6.0,0.6,0.23952815570144856
161,4.641588833612754e-40,270.0,7.0,0.5818181818181817,0.23968145373679017
162,4.641588833612754e-40,313.33333333333337,2.0,0.6181818181818183,0.23798974443723472
163,4.641588833612754e-40,313.33333333333337,3.0,0.5818181818181818,0.23798974443723467
164,4.641588833612754e-40,313.33333333333337,4.0,0.5818181818181818,0.24136130608169548
