,min_impurity,max_depth,min_samples_split,Accuracy,Std,Time_process
31,1e-10,16.11111111111111,3.0,0.6787878787878788,0.2392212649210976,0.12492823600769043
32,1e-10,16.11111111111111,4.0,0.6727272727272727,0.25338842376202275,0.11593461036682129
33,1e-10,16.11111111111111,5.0,0.6666666666666667,0.2445362545676608,0.13991999626159668
34,1e-10,16.11111111111111,6.0,0.6666666666666666,0.23783535600422528,0.12992405891418457
35,1e-10,16.11111111111111,7.0,0.6727272727272727,0.2299838298304276,0.12093305587768555
36,1e-10,18.333333333333336,2.0,0.6484848484848486,0.2479669399451974,0.14191532135009766
37,1e-10,18.333333333333336,3.0,0.6787878787878788,0.2392212649210976,0.12692999839782715
38,1e-10,18.333333333333336,4.0,0.6727272727272727,0.25338842376202275,0.13592004776000977
39,1e-10,18.333333333333336,5.0,0.6666666666666667,0.2445362545676608,0.13294410705566406
40,1e-10,18.333333333333336,6.0,0.6666666666666666,0.23783535600422528,0.1229088306427002
41,1e-10,18.333333333333336,7.0,0.6727272727272727,0.2299838298304276,0.13292479515075684
42,1e-10,20.555555555555557,2.0,0.6484848484848486,0.2479669399451974,0.13092374801635742
43,1e-10,20.555555555555557,3.0,0.6787878787878788,0.2392212649210976,0.13592219352722168
44,1e-10,20.555555555555557,4.0,0.6727272727272727,0.25338842376202275,0.165907621383667
45,1e-10,20.555555555555557,5.0,0.6666666666666667,0.2445362545676608,0.16790175437927246
46,1e-10,20.555555555555557,6.0,0.6666666666666666,0.23783535600422528,0.13992071151733398
47,1e-10,20.555555555555557,7.0,0.6727272727272727,0.2299838298304276,0.14191627502441406
48,1e-10,22.77777777777778,2.0,0.6484848484848486,0.2479669399451974,0.1559131145477295
49,1e-10,22.77777777777778,3.0,0.6787878787878788,0.2392212649210976,0.1389179229736328
50,1e-10,22.77777777777778,4.0,0.6727272727272727,0.25338842376202275,0.13392210006713867
51,1e-10,22.77777777777778,5.0,0.6666666666666667,0.2445362545676608,0.13492441177368164
52,1e-10,22.77777777777778,6.0,0.6666666666666666,0.23783535600422528,0.12692666053771973
53,1e-10,22.77777777777778,7.0,0.6727272727272727,0.2299838298304276,0.11493563652038574
54,1e-10,25.0,2.0,0.6484848484848486,0.2479669399451974,0.13492274284362793
55,1e-10,25.0,3.0,0.6787878787878788,0.2392212649210976,0.1259322166442871
56,1e-10,25.0,4.0,0.6727272727272727,0.25338842376202275,0.13191866874694824
57,1e-10,25.0,5.0,0.6666666666666667,0.2445362545676608,0.1259288787841797
58,1e-10,25.0,6.0,0.6666666666666666,0.23783535600422528,0.11892938613891602
59,1e-10,25.0,7.0,0.6727272727272727,0.2299838298304276,0.11795330047607422
60,1.2915496650148826e-09,5.0,2.0,0.3151515151515152,0.14795824988768125,0.10493993759155273
61,1.2915496650148826e-09,5.0,3.0,0.3151515151515152,0.14795824988768125,0.12091183662414551
62,1.2915496650148826e-09,5.0,4.0,0.3151515151515152,0.14795824988768125,0.10893487930297852
63,1.2915496650148826e-09,5.0,5.0,0.3151515151515152,0.14795824988768125,0.12292861938476562
64,1.2915496650148826e-09,5.0,6.0,0.3151515151515152,0.14795824988768125,0.09694576263427734
65,1.2915496650148826e-09,5.0,7.0,0.3151515151515152,0.14795824988768125,0.10393977165222168
66,1.2915496650148826e-09,7.222222222222222,2.0,0.5515151515151515,0.2544011134765498,0.11893343925476074
67,1.2915496650148826e-09,7.222222222222222,3.0,0.5515151515151515,0.2544011134765498,0.12192821502685547
68,1.2915496650148826e-09,7.222222222222222,4.0,0.5515151515151515,0.2544011134765498,0.12492895126342773
69,1.2915496650148826e-09,7.222222222222222,5.0,0.5454545454545454,0.2555535593007032,0.13494372367858887
70,1.2915496650148826e-09,7.222222222222222,6.0,0.5515151515151515,0.2544011134765498,0.12490701675415039
71,1.2915496650148826e-09,7.222222222222222,7.0,0.5454545454545454,0.2555535593007032,0.13792061805725098
72,1.2915496650148826e-09,9.444444444444445,2.0,0.6606060606060606,0.23690691255384322,0.13692378997802734
73,1.2915496650148826e-09,9.444444444444445,3.0,0.6666666666666667,0.2412090756622109,0.23786163330078125
74,1.2915496650148826e-09,9.444444444444445,4.0,0.6666666666666666,0.23268307661154508,0.3547966480255127
75,1.2915496650148826e-09,9.444444444444445,5.0,0.6545454545454545,0.24914914898296323,0.2648477554321289
76,1.2915496650148826e-09,9.444444444444445,6.0,0.6606060606060606,0.24029366789816983,0.21387553215026855
77,1.2915496650148826e-09,9.444444444444445,7.0,0.6606060606060606,0.2369069125538432,0.12093162536621094
78,1.2915496650148826e-09,11.666666666666668,2.0,0.6545454545454545,0.245884397273949,0.24885845184326172
79,1.2915496650148826e-09,11.666666666666668,3.0,0.6787878787878788,0.2392212649210976,0.16290664672851562
80,1.2915496650148826e-09,11.666666666666668,4.0,0.6727272727272727,0.25338842376202275,0.14391660690307617
